Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
Pinks,3,284.7120918,68063.27563,Social,94.90403061,No,717.1800312,NA,Female,By_16:00,0.983732215,0.272028918,5.674133685,4.303260073,2.311256907,7.634302876,5534,6.509736972,651.3449201,8474.490152,75399.6548,No,514347.1972,25.52145999,265.2826932,91.83734064,9111.679056,70,Below_30,2,899.2327933,6,Car,Services_or_Retail,482.6087241,2,No
Purples,8,422.7465044,58326.53643,Environment,140.9155015,No,413.9114279,Yes,Male,After_16:00,0.056476778,0.777957828,2.58036396,4.660403656,2.978388015,8.347941055,5978,76.99579564,339.2413081,4817.596895,45876.22499,No,171322.6701,18.4185045,182.5665252,30.34581251,20008.09406,90,Below_30,2,601.0654085,11,Public_or_other,Student_or_Unemployed,508.7141768,1,No
Purples,3,408.7912912,44458.28905,Environment,136.2637637,No,326.2664103,Yes,Female,By_16:00,0.022911124,0.347324801,7.283885905,2.745701475,3.390852849,1.161544975,6009,11.01971134,383.3806517,4029.425407,45336.74765,No,106449.7705,19.58010857,233.4379659,36.27391418,18714.07707,90,30-45,3,575.9250218,12,Foot_or_bicycle,Industry_or_other,396.5115884,0,Yes
Blues,1,NA,255751.9406,Financial,432.692258,Yes,591.0712196,No,Male,After_16:00,0.819237568,0.0126415,1.661856149,7.342915037,0.176935371,2.045071253,7415,26.28559151,404.2001015,6719.112399,52045.15239,Yes,349365.1867,20.10472834,154.4833166,11.00798412,187665.2824,60,Below_30,2,632.9075075,9,Public_or_other,Hightech,420.0405884,3,Yes
Browns,2,886.6361262,95013.21188,Financial,295.5453754,No,321.4843465,Yes,Female,After_16:00,0.143648331,0.234960822,7.999633534,6.429683939,3.606506316,NA,4495,87.06842132,349.5433918,3913.930249,42277.80609,No,103352.1851,18.69607958,260.3633743,8.778115548,87652.6143,60,Below_30,2,539.109245,5,Foot_or_bicycle,Public_Sector,384.7435155,1,No
Whites,NA,97.10668301,17459.56068,Healthcare,32.36889434,No,539.3931747,No,Male,After_16:00,0.572736866,0.494950038,2.473089122,2.623673214,4.935577291,2.827459346,8976,31.29642571,397.2056792,6188.343105,50874.66348,No,290944.9969,19.93001955,129.5638807,12.0145296,1090.114215,80,45_and_up,1,627.2619325,9,Foot_or_bicycle,Industry_or_other,431.6750076,0,Yes
Browns,2,155.8267906,16069.17453,Social,51.94226353,No,309.3660814,Yes,Female,After_16:00,0.035308355,0.566929537,5.920949953,6.842789995,5.391410301,1.207881549,6598,58.37781057,381.5286958,3856.718206,44981.91395,No,95707.37232,19.53275955,245.7098029,96.75252668,2759.941004,70,30-45,3,574.3210191,7,Foot_or_bicycle,Hightech,NA,0,No
Purples,1,670.7981865,89523.70636,Financial,223.5993955,No,400.37544,Yes,Female,By_16:00,0.359744858,0.089470692,7.816664563,3.903315375,7.983299596,3.411292187,4619,29.08016411,427.6758175,4859.106035,50344.06869,No,160300.493,20.68032441,155.2731961,95.00149,50230.28906,60,Below_30,4,627.6331887,10,Car,Public_Sector,405.3748177,0,Yes
Greens,3,161.4307992,NA,NA,53.81026641,No,269.6368303,Yes,Female,By_16:00,0.977703666,0.467521426,5.740295029,5.685406199,5.275972744,0.410447326,3773,71.93138732,521.0524891,3738.473281,62266.12168,No,72704.02024,22.82657419,302.9154857,98.35503956,2959.355037,100,45_and_up,4,843.6956283,12,Motorcycle_or_truck,Student_or_Unemployed,695.5694103,1,No
Purples,8,417.4716535,52288.60968,Education,139.1572178,No,375.7520486,Yes,Female,After_16:00,0.813341422,0.420113365,4.953661466,1.762080572,6.850256396,5.618809445,9378,65.12567943,417.9294528,4593.379392,52071.91946,No,141189.602,20.44332294,152.4330244,46.63478909,19513.88849,100,45_and_up,3,680.011243,14,Car,Hightech,532.5990611,0,No
Pinks,NA,352.4358805,84413.25802,Education,117.4786268,No,718.5414086,No,Female,After_16:00,0.512768975,0.652027461,2.537502642,0.74352965,7.246181557,7.072087256,5163,88.26862667,658.6727922,8502.75967,76075.00445,No,516301.7559,25.66462141,270.4594462,77.71558412,13928.70639,100,Below_30,2,907.3982871,11,Motorcycle_or_truck,Services_or_Retail,485.4772666,0,No
Yellows,3,1219.548495,113087.8926,Environment,406.516165,Yes,278.1879353,Yes,Male,After_16:00,0.339035997,0.678121734,8.966104938,2.461805234,6.649912212,8.142943531,8863,57.44189199,331.8957536,3445.67086,45889.05744,Yes,77388.52735,18.2180063,309.3901109,85.09129498,165671.9086,90,Below_30,0,644.094586,13,Foot_or_bicycle,Services_or_Retail,635.1392284,1,No
Oranges,2,102.6628005,17044.32343,Military,34.22093351,No,498.0671679,Yes,Male,After_16:00,0.822357527,0.368234872,NA,1.14488177,8.567392004,8.627888127,5182,70.42828654,343.4458608,5667.5634,47249.2725,Maybe,248070.9037,18.53229238,156.792033,60.27430538,1215.293224,30,Below_30,3,604.7006388,7,Motorcycle_or_truck,Services_or_Retail,491.5852946,0,No
Pinks,7,507.0044118,56594.40658,Environment,169.0014706,No,334.8752314,Yes,Male,After_16:00,NA,0.910107512,0.216701254,0.36097286,4.508695938,2.672888327,7654,64.28795457,380.5589591,4109.870232,49655.37793,No,112141.4206,19.50792042,221.8757431,83.32948752,28740.49853,90,45_and_up,1,669.8554183,8,Motorcycle_or_truck,Student_or_Unemployed,587.7296638,0,NA
Purples,1,553.8632599,64578.7894,Healthcare,184.6210866,No,349.7909723,Yes,Male,After_16:00,0.981994302,0.474112506,0.432297825,1.479980284,7.982162652,5.476277543,6950,55.66387079,460.8316135,4419.57295,53361.31231,No,122353.7243,21.46698893,160.6516198,63.76295586,34279.56672,80,30-45,1,679.0392168,13,Foot_or_bicycle,Student_or_Unemployed,458.6233347,3,Yes
Pinks,9,119.054429,27484.99961,Education,39.68480966,No,692.5823722,No,Male,By_16:00,0.126053483,0.530756141,6.958330362,9.981792588,5.991966894,0.742435171,3089,80.97046525,652.1321903,8230.088103,75540.28915,No,479670.3423,25.53687903,245.4577915,63.84752656,1624.568927,100,Below_30,2,908.2601127,9,Car,Public_Sector,504.1658084,0,No
Greens,10,241.5819676,22898.88297,Education,80.52732254,No,284.3616582,Yes,Male,After_16:00,0.159732699,0.592614679,7.578145522,1.989321546,0.742693308,8.903306159,6374,4.422352556,483.1202247,3809.857031,58655.67189,No,80861.55265,21.97999601,268.8351336,5.642625806,6575.176998,100,30-45,1,793.0684055,15,Foot_or_bicycle,Student_or_Unemployed,659.6480748,0,No
Greys,3,993.9742136,162894.8027,Military,331.3247379,No,491.6469678,Yes,Male,By_16:00,0.591583011,0.266381457,7.606725185,4.985325672,2.456301453,5.780442841,7850,8.825441124,464.880817,5846.231312,55583.52568,Maybe,NA,21.56109499,73.21149927,33.75982053,110117.4067,30,30-45,3,685.7109509,7,Motorcycle_or_truck,Industry_or_other,436.3070376,0,No
Purples,3,693.2532896,88333.35079,Environment,231.0844299,No,382.2557445,Yes,Male,After_16:00,0.734045153,0.330019878,3.899264077,1.333146123,6.95883106,3.305455763,3328,14.25805006,432.1273507,4686.812147,50132.4654,No,146119.4542,20.78767305,172.3038786,99.89554381,53641.09816,90,30-45,4,624.1821399,14,Foot_or_bicycle,Public_Sector,394.0838995,1,Yes
Greens,9,131.313925,13948.91748,Social,43.77130833,No,318.6771887,Yes,Female,After_16:00,0.174607137,0.807496018,8.756970814,8.61812962,4.326542388,0.998292246,9365,23.60331591,532.5132182,4251.798323,62460.56312,No,101555.1506,23.07624792,224.2693587,8.333199937,1969.698742,70,45_and_up,1,825.0859948,9,Motorcycle_or_truck,Hightech,627.9127592,1,No
Pinks,10,628.7757118,148702.2482,Education,209.5919039,No,709.4846958,No,Female,By_16:00,0.540182061,0.012682391,NA,9.375176816,2.187193932,4.720198689,5671,59.27756689,649.4717766,8393.790512,75486.82647,No,503368.5336,25.48473615,257.3472448,20.76424954,44148.3581,100,30-45,1,904.7740361,11,Foot_or_bicycle,Public_Sector,498.601935,0,No
Browns,1,975.476266,167766.7606,Environment,325.1587553,No,515.9533853,No,Female,After_16:00,0.911832667,0.127134723,6.19281468,3.795988811,6.143636901,5.285556514,7646,97.75060173,459.0470325,6077.627918,56575.09862,No,266207.8958,21.4253829,47.59108566,57.23237216,106063.3749,90,45_and_up,1,705.6100259,9,Motorcycle_or_truck,Services_or_Retail,481.7447161,0,No
Whites,3,751.8070155,82206.9396,Environment,250.6023385,No,328.0374002,Yes,Female,After_16:00,0.537023523,0.28542482,6.353593206,3.91303885,1.56736783,3.453782192,4905,22.37691912,317.1023408,3914.578683,43378.64303,No,107608.5359,17.8073676,254.3051709,7.603029418,63062.1344,90,30-45,2,588.4962806,9,Car,Student_or_Unemployed,540.6008678,1,No
Pinks,5,194.5400412,19769.50887,Education,64.84668041,No,304.8653954,Yes,Female,By_16:00,0.960383321,0.120008938,2.223956713,7.320403538,2.845128973,5.609069136,NA,28.77166008,360.5827288,3769.819412,43576.10228,No,92942.90934,18.989016,254.4142215,45.26673222,4279.938641,100,45_and_up,2,562.5495227,9,Car,Services_or_Retail,NA,0,Yes
Turquoises,2,1706.487361,272634.7341,Education,568.8291203,Yes,479.2910988,Yes,Male,After_16:00,0.890993286,0.827808248,8.604161376,1.524597786,5.838635676,4.458309701,9216,83.46521489,502.5244653,5797.959919,58671.1126,Yes,229719.9574,22.41705746,55.33522387,60.15155723,324145.3972,100,Below_30,2,724.5751873,14,Motorcycle_or_truck,Public_Sector,448.7481172,0,No
Purples,3,106.7270686,15279.02474,Healthcare,35.57568954,No,429.4793703,Yes,Female,After_16:00,0.670754398,0.02261469,5.201644653,2.144834748,6.238246541,5.351874302,7818,44.4732598,443.6155714,5182.024845,54072.64359,No,184452.5295,21.06218344,90.78543757,16.42148157,1311.205376,80,45_and_up,1,687.4682248,12,Public_or_other,Services_or_Retail,490.5325472,0,No
Pinks,2,182.7145433,22743.24375,Environment,60.90484777,No,373.4225531,Yes,Female,By_16:00,0.537342143,0.535446317,6.934272361,1.406841981,3.582931515,6.730503042,7246,82.84696941,398.8016523,4531.828836,51332.60786,No,139444.4032,19.97001884,176.0221415,46.72943889,3780.30533,NA,30-45,1,680.6179222,10,Public_or_other,Student_or_Unemployed,568.7083595,2,No
Greys,4,319.7597624,41950.8366,Foreign_Affairs,106.5865875,No,393.5845737,Yes,Male,After_16:00,0.513512638,0.359330108,5.103599883,8.410405631,0.119871874,2.79991423,3688,31.5937367,425.872996,4787.591729,50065.06224,Maybe,NA,20.63669053,161.0366093,88.37700307,11477.28722,40,30-45,3,624.9112148,7,Public_or_other,Student_or_Unemployed,404.5341221,3,Yes
Greens,10,537.4739666,53481.9472,Financial,179.1579889,No,298.5183499,Yes,Male,By_16:00,0.946174508,0.751123552,5.906736287,1.950702525,6.650451245,8.311473909,NA,NA,477.3721282,3939.927755,57598.06929,No,89113.2052,21.8488473,237.2422946,92.31044052,32286.74297,60,45_and_up,2,771.0842958,12,Motorcycle_or_truck,Industry_or_other,623.1950909,5,No
Blues,9,2119.304475,437842.4634,Environment,706.4348249,Yes,619.7917316,No,Male,After_16:00,0.267595768,0.597253081,0.132043445,3.612974111,2.711384415,9.998810135,4646,83.1715744,413.2852743,7024.487865,51989.57017,Yes,384141.7906,20.32941894,200.374275,88.31707933,499766.5967,90,30-45,0,616.3335024,13,Motorcycle_or_truck,Hightech,364.7951647,0,No
Greys,10,575.2049289,100392.9421,Foreign_Affairs,191.7349763,No,523.602652,No,Male,By_16:00,0.482217375,0.827536964,7.939180338,4.073740831,4.39195324,4.620582203,7522,91.87399626,NA,6207.588856,57588.74465,Maybe,274159.7372,22.04044392,77.86437289,90.4757322,36964.03611,40,30-45,1,703.150406,9,Motorcycle_or_truck,Public_Sector,427.174179,0,Yes
Yellows,5,-520.8166307,-49255.28964,Social,-173.6055436,Yes,283.7195669,Yes,Female,After_16:00,0.483721985,0.88395869,4.9893218,2.41711573,5.026331476,9.792387248,8514,68.84540545,202.3714595,3241.938588,30511.90843,Yes,80496.79266,14.2257323,378.0598945,28.83971904,29975.27921,70,Below_30,3,417.0053795,13,Foot_or_bicycle,Public_Sector,412.9982186,0,Yes
Pinks,7,62.3870993,5469.445214,Healthcare,20.79569977,No,263.0084717,Yes,Male,After_16:00,0.3999172,0.924649062,1.363537817,3.978457928,1.827518453,0.028919063,3167,93.90611441,379.7139553,3389.512628,43138.86774,No,69173.4562,19.48625042,300.1746116,76.52323057,463.2568286,80,30-45,2,548.2740003,7,Car,Hightech,360.4611865,0,Yes
Greys,9,144.5692499,20256.47598,Foreign_Affairs,48.18974997,No,420.3482275,Yes,Female,After_16:00,0.77529891,0.603931896,6.308677376,7.532429488,8.22572238,2.740763882,9059,33.34518219,419.9043685,5043.291012,49711.90645,Maybe,176692.6323,20.49156823,157.5593551,43.60298219,2380.441752,40,Below_30,5,615.0278219,8,Motorcycle_or_truck,Industry_or_other,NA,6,Yes
Blues,3,1529.401463,79375.5249,Healthcare,509.8004877,Yes,155.6991937,Yes,Male,By_16:00,0.248739973,0.07440322,5.77520648,0.720311147,2.259275112,0.925844491,6007,99.4347336,115.7983012,1788.58854,16057.53571,Yes,24242.23893,10.76096191,606.9310247,93.68948871,260416.3378,80,45_and_up,3,209.9358973,10,Foot_or_bicycle,Services_or_Retail,180.2950138,4,Yes
Browns,6,551.6744029,88986.27411,Environment,183.8914676,No,483.9064871,Yes,Male,After_16:00,0.77530757,0.639459429,2.536692028,4.291794263,1.156793751,7.074659723,6278,44.66987448,449.0981295,5737.26113,54407.30859,No,234165.4883,21.19193548,76.08745659,29.99774367,34009.96333,90,30-45,1,675.4713119,9,Public_or_other,Hightech,445.7846934,0,No
Yellows,2,1192.980135,250185.2881,Environment,397.6600448,Yes,629.1436399,No,Male,By_16:00,0.474767223,0.29230637,5.198504517,1.772675337,9.948936491,8.622308751,8165,94.62830184,589.5595622,7470.555523,71659.21383,Yes,395821.7196,24.28084764,186.2534879,20.80549062,158541.1713,90,30-45,2,893.4963824,NA,Public_or_other,Student_or_Unemployed,599.956825,2,Yes
Browns,10,201.3987972,31192.51135,Financial,67.13293239,No,464.6379986,Yes,Female,By_16:00,0.503811569,0.294819993,5.902328305,9.2596384,1.312240385,1.799721562,4111,95.60232256,422.3861963,5491.152379,51966.56787,No,215888.4697,20.55203631,100.5119019,98.20478705,4583.963543,60,Below_30,2,650.0206415,5,Foot_or_bicycle,Public_Sector,446.8185299,1,Yes
Oranges,7,334.4842519,42362.4091,Other,111.4947506,No,379.949808,Yes,Male,By_16:00,0.728535397,0.050907276,6.132920797,9.122353168,6.278003992,2.628661417,9814,0.425030594,443.823665,4687.14541,54938.41589,Maybe,144361.8566,21.06712285,147.2123985,31.72268248,12552.57417,50,Below_30,1,719.4661914,10,Car,Public_Sector,564.0598241,1,No
Purples,4,382.7450629,50791.78162,Healthcare,127.5816876,No,398.1118494,Yes,Female,By_16:00,0.893839106,0.260570434,4.529095951,0.943034198,9.367121719,8.436351432,7026,90.3074004,427.1266218,4835.371738,50297.87675,No,NA,20.66704192,156.0450669,16.41695204,16414.66871,80,Below_30,1,627.7000481,NA,Car,Public_Sector,406.949807,0,Yes
Browns,10,441.7470135,41278.60156,Healthcare,147.2490045,No,280.3319568,Yes,Male,By_16:00,0.02024733,0.522983525,4.823011393,4.460880028,5.498505807,5.677227806,6625,43.38780104,369.0953797,3541.510327,43138.93592,No,78586.00599,19.21185519,280.5505497,6.76528702,21839.51833,80,45_and_up,3,552.5160433,8,Foot_or_bicycle,Industry_or_other,384.5940118,0,No
Greens,3,933.8360644,97070.09894,Financial,311.2786881,No,311.843061,NA,Female,By_16:00,0.40353737,0.590297176,9.234859587,0.628749439,5.928568856,6.808037756,8166,87.97344686,496.6698029,4111.770216,59855.31345,No,97246.0947,22.2860899,237.1822181,34.39131011,97215.70038,60,Below_30,2,800.3696762,8,Car,Industry_or_other,644.365095,0,Yes
Pinks,2,140.8230967,14938.6603,Education,46.94103222,No,318.2431147,Yes,Male,By_16:00,0.63216117,0.580719973,7.398846066,4.217177252,2.927036942,7.257825299,3426,18.03322085,361.6776069,3905.786361,43900.12566,No,101278.68,19.0178234,243.5449869,75.6487333,2260.401538,100,30-45,2,565.0685959,9,Foot_or_bicycle,Industry_or_other,415.4688765,2,No
Greens,4,144.0669141,13356.52498,Environment,48.0223047,No,278.1316945,Yes,Male,After_16:00,0.085785525,0.031408637,9.720458346,5.333182339,8.219517181,5.579571119,5476,23.67925278,498.541113,3778.399171,59591.65925,No,77357.23949,22.32803424,268.556154,22.05105613,2364.164053,90,45_and_up,2,802.1552016,12,Public_or_other,Hightech,651.3100609,0,No
Reds,4,107.0734942,14041.02924,Other,35.69116475,No,393.4035031,Yes,Male,By_16:00,0.521298718,0.763237738,4.871629267,5.897871954,9.698550592,8.291359041,7373,10.16369681,403.1167001,NA,50832.01144,Maybe,154766.3162,20.07776631,145.0650039,31.73645751,1319.550406,50,Below_30,3,660.7283343,8,Public_or_other,Student_or_Unemployed,517.1659078,0,No
Purples,4,620.8288569,94350.11818,Education,206.9429523,No,455.9233216,Yes,Female,By_16:00,0.205356887,0.353547293,2.458461099,7.870852409,1.603113483,1.347192929,7024,0.808381638,450.4953195,5460.223855,57222.07567,No,207866.0752,21.22487502,106.9937739,26.00691733,43042.32845,100,Below_30,2,743.0327642,15,Car,Student_or_Unemployed,583.9892891,0,No
Reds,2,423.713237,62162.14113,Foreign_Affairs,141.2377457,No,440.1241385,Yes,Male,After_16:00,0.223614926,0.249944367,5.952888625,0.117142398,6.505000731,3.38073368,7112,36.84624706,387.8251479,5176.891681,50407.66784,Maybe,193709.2573,19.69327672,128.3358368,27.60885647,20099.33855,40,Below_30,3,651.740822,7,Motorcycle_or_truck,Hightech,517.3715502,3,Yes
Oranges,5,147.8442865,16256.75954,Military,NA,No,329.8759782,Yes,Male,By_16:00,0.448111767,0.656887899,0.922980404,8.918554166,6.484042099,2.685216807,7659,56.58574633,428.0525199,4154.864821,50975.92601,Maybe,108818.161,20.68943015,185.4349262,77.20385073,2487.940657,30,30-45,1,660.0573177,6,Car,Services_or_Retail,483.644904,0,No
Pinks,10,726.1017181,171697.8735,Social,242.033906,No,NA,No,Female,After_16:00,0.794994227,0.349942377,7.888132187,9.612879083,8.643441242,1.877226939,9321,42.58867954,644.9317284,8383.822988,74797.2853,No,503242.6183,25.39550607,255.1328558,53.09877202,58832.44557,70,45_and_up,0,893.6176254,6,Motorcycle_or_truck,Services_or_Retail,484.478949,0,No
Oranges,10,494.7697985,57869.37622,Other,164.9232662,No,350.8866734,Yes,Female,By_16:00,0.249137091,0.183076228,8.662609821,4.974886929,5.1867231,0.329040627,6056,7.262879168,436.9386792,4382.744092,52478.35816,Maybe,NA,20.90307822,161.9194718,35.08757392,27374.60699,50,30-45,1,679.5984868,7,Foot_or_bicycle,Services_or_Retail,502.5300163,1,No
Reds,6,158.1648343,26669.49131,Foreign_Affairs,52.72161144,No,505.8550106,No,Male,By_16:00,0.556938676,0.222067462,3.910557502,7.064706387,9.598851469,4.871760022,8828,75.94683175,447.5202437,5953.590594,56756.90711,Maybe,255889.2918,21.15467428,64.59674221,31.70992029,2842.289924,40,30-45,4,721.9570341,10,Motorcycle_or_truck,Services_or_Retail,537.2066275,1,Yes
Purples,1,639.8125075,94153.14932,Education,213.2708358,No,441.4722198,Yes,Male,By_16:00,0.736697318,0.11855758,8.887978201,4.741052748,6.449996391,0.452985479,9895,57.79666232,449.0628115,5312.847821,55675.3877,No,194897.7209,21.19110218,84.08471165,50.32242986,45707.72026,100,Below_30,2,714.506688,14,Public_or_other,Services_or_Retail,532.4058714,4,Yes
