Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Yearly_IncomeK,Weighted_education_rank,Number_of_valued_Kneset_members,Overall_happiness_score,index_col,Will_vote_only_large_party_int,Most_Important_Issue_Environment,Most_Important_Issue_Social,Most_Important_Issue_Education,Most_Important_Issue_Healthcare,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Other,Most_Important_Issue_Military
68.83351684,284.6349338,484.8241603999999,250.1788656,13.0,626.4003438999998,4477,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236.8680923,691.1685749,635.705358,235.96106060000002,8.0,473.23707939999997,6490,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101.21457120000001,237.1845775,439.60005099999995,290.937915,16.0,609.2005962999998,3961,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39.89924259,473.1426121,444.3888941000001,84.43367298,14.0,442.4228279,2744,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
589.5334343999998,463.07206940000003,269.6666275,306.782856,9.0,699.2450405000003,262,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37.86979125,510.51633210000006,386.77993389999995,138.1606834,10.0,421.5207171,7134,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.79976599999999,304.2998273,371.27438060000003,258.6072085,6.0,390.4151214,7925,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
766.1896598999997,537.8201622,490.19763889999996,39.23053629,12.0,503.54739689999997,6163,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.41789340000001,400.7488259,312.3144852,219.0234778,13.0,446.19818,9952,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
471.3831233,486.55481849999995,580.1987251,168.2514381,12.0,352.7045894,4007,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53.276376899999995,415.81379760000004,448.3997906,99.08885968,15.0,508.2887773,7890,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
