Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Yearly_IncomeK,Weighted_education_rank,Number_of_valued_Kneset_members,Overall_happiness_score,index_col,Will_vote_only_large_party_int,Most_Important_Issue_Environment,Most_Important_Issue_Social,Most_Important_Issue_Education,Most_Important_Issue_Healthcare,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Other,Most_Important_Issue_Military
68.83351684,284.6349338,484.82416039999987,250.1788656,13.0,626.4003438999998,4477.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236.8680923,691.1685749,635.705358,235.9610606,8.0,473.2370794,6490.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101.2145712,237.1845775,439.600051,290.937915,16.0,609.2005962999998,3961.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39.89924259,473.1426121,444.38889410000013,84.43367298,14.0,442.4228279,2744.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
589.5334343999998,463.0720694,269.6666275,306.782856,9.0,699.2450405000003,262.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37.86979125,510.51633210000006,386.7799339,138.1606834,10.0,421.5207171,7134.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.799766,304.2998273,371.2743806,258.6072085,6.0,390.4151214,7925.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
766.1896598999997,537.8201622,490.1976389,39.23053629,12.0,503.5473969,6163.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.4178934,400.7488259,312.3144852,219.0234778,13.0,446.19818,9952.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
471.3831233,486.5548185,580.1987251,168.2514381,12.0,352.7045894,4007.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53.2763769,415.8137976,448.3997906,99.08885968,15.0,508.2887773,7890.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202.399583,472.0881178,460.0179607,61.83474782,10.0,461.9750161,3147.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26.67133423,306.4924281000001,370.3490687,253.0820981,8.0,401.0252355,777.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
