Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Yearly_IncomeK,Weighted_education_rank,Number_of_valued_Kneset_members,Overall_happiness_score,Will_vote_only_large_party_int,Most_Important_Issue_Environment,Most_Important_Issue_Social,Most_Important_Issue_Education,Most_Important_Issue_Healthcare,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Other,Most_Important_Issue_Military
-0.762607665,-0.963233983,0.484015521,0.454451569,1.030897875,1.369519393,-1,1,0,0,0,0,0,0,0
0.281449251,2.192330702,1.946542027,0.327335164,-0.780705577,-0.041024002,-1,0,1,0,0,0,0,0,0
-0.561412978,-1.33154955,0.045647721,0.818863924,2.117859946,1.211119855,-1,0,0,1,0,0,0,0,0
-0.942386315,0.499986061,0.09206709,-1.027418026,1.393218565,-0.324805097,-1,0,0,0,1,0,0,0,0
2.472680956,0.421817256,-1.601556437,0.96052798,-0.418384886,2.040376116,1,0,1,0,0,0,0,0,0
-0.954995998,0.790085524,-0.466349947,-0.547063683,-0.056064196,-0.517301218,-1,1,0,0,0,0,0,0,0
-0.433510046,-0.810592634,-0.616648878,0.529806425,-1.505346957,-0.803765421,-1,0,0,0,0,1,0,0,0
3.570307164,1.00202125,0.536101897,-1.431563406,0.668577185,0.238116158,1,1,0,0,0,0,0,0,0
-0.516656247,-0.061943511,-1.188160843,0.175902181,1.030897875,-0.290036329,-1,0,0,1,0,0,0,0,0
1.738572222,0.604093276,1.408503338,-0.278032806,0.668577185,-1.151057195,1,0,0,0,0,1,0,0,0
-0.859269554,0.054992673,0.130945642,-0.896391146,1.755539256,0.281781477,-1,0,0,1,0,0,0,0,0
0.067284485,0.491800945,0.243563264,-1.229467085,-0.056064196,-0.144740967,-1,0,1,0,0,0,0,0,0
-1.024575883,-0.793573394,-0.625618141,0.480408352,-0.780705577,-0.706052524,-1,1,0,0,0,0,0,0,0
-0.334967076,-0.570635691,-0.980377207,0.369436684,-1.505346957,0.720566472,-1,0,0,0,0,1,0,0,0
-0.245026517,0.430255253,-0.086987915,-0.995708363,-1.867667648,-0.081030343,-1,0,0,0,0,1,0,0,0
2.592711689,2.688601114,-2.421440111,1.936211285,0.668577185,1.066043589,1,0,0,1,0,0,0,0,0
-0.184295633,2.380405436,2.325600504,0.704265482,-1.505346957,0.38861271,-1,0,1,0,0,0,0,0,0
0.746718664,2.250040914,1.809557943,0.332061841,-1.143026267,-0.174710806,-1,0,0,0,1,0,0,0,0
-0.262844129,-0.616669206,0.328782302,0.241738764,0.668577185,1.544270612,-1,0,0,1,0,0,0,0,0
-0.646089129,0.622016157,-0.193643178,-0.969167022,-1.505346957,-0.072063335,-1,0,1,0,0,0,0,0,0
0.643586846,0.429534374,-0.43390199,-0.370897537,-0.780705577,-0.784641044,0,0,0,0,0,0,1,0,0
-1.002862969,0.684871885,0.394642645,-1.474173439,-1.143026267,-0.016997697,-1,0,0,0,1,0,0,0,0
-1.06609509,-0.690245113,-0.44061468,0.293879361,-0.780705577,1.090248326,-1,1,0,0,0,0,0,0,0
-0.888437709,-0.592859408,-0.535743845,0.295333677,-1.505346957,-0.778013703,-1,0,1,0,0,0,0,0,0
-0.734915973,0.080023325,0.037824488,-0.814108999,-0.418384886,0.553228122,0,0,0,0,0,0,0,1,0
-0.495006022,0.407663009,-0.026751186,-0.690208425,1.755539256,1.069993321,-1,1,0,0,0,0,0,0,0
1.377942136,-1.595620063,1.902466489,1.3561258,1.393218565,-1.026964706,1,0,0,1,0,0,0,0,0
-0.121279552,0.087518633,0.13723486,-0.920065135,0.668577185,0.366407787,-1,0,0,0,0,1,0,0,0
-0.885937682,-0.14810886,-0.32008963,-0.435749161,-0.418384886,-0.06719299,0,0,0,0,0,0,0,1,0
-0.735173375,1.117870055,0.365241238,-1.188026964,-1.143026267,-0.068342691,-1,0,1,0,0,0,0,0,0
-0.99377665,-0.852590183,-0.544962489,0.476898733,-0.056064196,-0.652832871,-1,0,0,1,0,0,0,0,0
-0.940384305,0.508289325,-0.208252651,-0.658190054,-0.056064196,-0.599780704,-1,0,0,1,0,0,0,0,0
-0.848084801,0.236068398,0.556339683,-1.148022854,-0.056064196,0.533624386,-1,0,0,0,0,1,0,0,0
0.477749734,0.244944166,-0.116287698,-0.904281642,0.668577185,0.09911347,-1,0,0,0,0,1,0,0,0
1.234657203,-1.298602817,1.77821909,0.943304323,-0.418384886,-0.806503464,1,0,1,0,0,0,0,0,0
