Vote,index_col
10,4477
9,6490
10,3961
8,2744
7,262
6,7134
5,7925
2,6163
8,9952
7,4007
8,7890
8,3147
5,777
6,8189
5,4770
7,8054
9,3126
9,8236
10,9140
5,6205
1,428
5,7915
9,6031
5,6295
3,1095
8,9376
4,9170
8,9723
3,7312
5,1496
5,7142
5,8623
8,8137
8,951
4,3594
2,6206
8,3077
7,2970
1,977
1,6913
10,6530
9,0
9,9497
3,1636
9,6741
9,2623
8,5129
6,1853
10,5869
5,4106
11,5728
7,1712
5,2760
5,4
1,8534
8,5841
8,9586
6,4080
7,2474
8,1807
1,224
10,3342
4,4396
8,745
10,8178
9,8405
10,2410
8,601
1,9807
9,5525
5,4643
5,7901
5,883
7,228
1,4542
9,2044
9,9901
7,3057
5,3287
10,5384
9,8226
7,6661
7,1455
4,9727
9,2920
8,3995
8,2092
5,2947
5,9685
9,8256
6,5754
7,1391
10,1470
11,390
7,4275
9,8892
5,8483
5,8829
5,5584
8,8395
9,2833
1,5216
10,752
8,3766
4,5549
5,1684
10,2638
1,6858
10,1990
11,2898
9,9278
5,556
5,7513
6,2647
10,971
8,8948
8,3119
9,4505
8,6624
10,7709
5,4791
11,6947
5,7804
9,5399
5,2507
11,2657
7,6842
8,2010
8,711
10,8266
8,6818
8,4807
8,9451
1,9873
7,3700
2,2289
5,4225
8,851
10,4919
5,8482
9,6546
7,8528
9,8163
8,5352
8,5166
5,2375
5,8157
8,8599
5,3195
1,5046
1,3007
8,1613
9,9101
5,8704
8,2739
10,2293
8,6955
8,99
1,8494
8,780
8,6957
5,9535
9,4906
9,5899
8,6085
11,1343
5,4220
7,6972
8,9761
5,5540
8,7704
1,1742
6,8170
9,7056
7,4904
7,8855
8,4599
1,7720
8,6181
8,2144
10,6255
7,1446
2,6405
3,922
1,3821
5,8886
8,9750
5,3454
4,1417
8,6103
1,7034
5,2447
10,9268
3,7101
7,7971
6,8421
5,3120
5,9543
10,7434
1,8407
1,4154
5,5519
3,8235
10,6982
11,799
8,1021
8,2122
7,6059
3,8807
7,9779
5,5236
6,9327
9,2606
5,9773
8,2683
7,3251
9,7751
2,4520
6,7433
4,1015
5,5711
11,8379
8,3865
3,8463
5,5813
11,5801
7,3425
1,4021
3,5814
6,5733
11,4989
7,6551
10,5199
11,2998
8,7746
5,2053
8,9443
8,8102
7,3989
8,6501
5,1606
5,962
8,1673
7,1968
8,8649
4,2612
7,4534
1,7764
5,860
5,5051
8,881
4,1575
5,9393
8,9293
5,5671
5,3583
6,6528
9,6379
8,6705
8,9941
4,6721
4,8107
10,3415
8,3052
8,2915
10,6558
10,5585
10,5390
8,4711
2,196
7,5470
7,5484
10,7534
8,4135
10,5548
9,7152
9,954
8,4119
4,4236
8,2398
1,8964
8,8613
10,4389
10,7967
8,6962
4,5892
5,5761
8,5854
1,9774
7,8981
5,7415
1,9062
7,6928
9,4170
9,8750
5,9464
5,9388
4,9149
7,8190
5,284
10,3200
7,9534
8,4964
7,7646
7,6572
4,6084
4,1097
3,5809
5,2139
5,8754
8,1743
1,9037
4,3270
7,6452
9,3322
1,9511
8,6003
4,1352
2,9480
9,381
5,2164
8,9284
10,2325
5,450
8,4103
8,7779
9,7621
8,2273
10,3043
11,9840
5,9211
8,6644
7,7041
8,430
5,4814
1,8832
7,1344
5,198
8,7942
8,5491
1,8744
6,3875
6,5307
9,6897
1,4741
5,1598
7,2811
7,8506
8,6618
1,2190
7,3666
7,8197
5,379
10,879
3,6052
9,1967
8,9608
5,3429
5,761
7,9719
3,2981
8,8707
4,2450
8,3982
7,9825
4,1579
8,5311
11,3155
9,7013
8,3974
11,1169
8,7344
10,9449
10,2213
8,4006
7,7645
5,2187
6,2982
5,9702
2,460
11,3414
5,6860
9,1016
8,9294
11,2725
8,1626
8,7499
8,9622
2,7812
2,4099
1,5545
9,4865
8,9052
8,4755
3,6620
2,8593
10,5682
5,6043
9,9335
9,9861
10,2266
9,1106
10,8382
8,1083
5,7379
7,3969
7,7169
7,6469
10,1364
2,5019
1,8146
10,7664
2,3828
4,6473
8,3659
5,2046
5,9752
4,4113
8,3265
1,6414
10,4835
8,1542
2,5503
3,1434
1,2338
8,1494
5,3635
7,877
8,7257
2,4701
9,2979
8,9974
5,5789
5,724
8,7903
5,9384
10,9065
5,8878
8,9895
8,2042
5,8166
8,1163
5,485
8,3636
8,3379
11,9467
9,2691
11,7282
10,4367
10,969
5,2557
7,7115
1,3643
8,140
7,6132
8,6040
5,5769
8,3518
8,594
5,2590
1,8522
8,3431
8,2859
6,9808
9,5321
10,1981
5,3238
9,3528
9,1779
8,6702
11,2214
8,6076
5,9853
7,9454
5,1300
1,7924
5,3855
8,1607
9,8408
2,5152
4,4823
8,3807
5,5371
9,4944
3,6521
10,4499
7,6554
11,8355
5,5338
5,1259
7,2572
2,7936
6,807
7,744
10,7818
8,9923
4,8016
10,4442
7,2899
5,6954
4,36
4,7378
5,3553
5,5686
10,8560
9,5012
7,3631
8,4436
5,6689
9,2355
7,4885
10,7397
2,2751
8,6576
5,5623
5,5901
7,8907
8,6538
4,358
11,1473
9,7109
10,7601
9,8342
8,5622
7,5783
10,5532
7,4344
8,886
9,7177
2,7691
4,6560
5,5443
11,805
9,7119
8,4975
5,1409
5,1373
5,2541
5,6729
1,6125
4,5181
2,4729
1,9633
8,5347
10,3412
9,5758
8,453
9,3202
8,2512
8,5712
4,5714
11,6261
7,4890
3,4153
10,4785
9,208
5,93
6,1055
8,7262
9,5873
7,9115
7,2105
7,3704
5,8199
8,6778
8,9623
9,6555
8,7280
5,4149
7,3282
9,873
5,2731
7,8916
3,568
8,5259
6,7252
8,6459
9,7613
4,399
7,4852
1,753
10,9753
8,2409
8,4712
11,2237
11,7677
8,3548
7,8343
1,3041
1,6182
4,1764
6,8875
6,9613
6,9913
3,1072
8,4425
5,83
8,3439
7,8062
10,693
1,4744
8,7838
3,8689
10,4533
4,2729
11,47
8,9687
10,5329
3,6698
8,270
10,3542
2,4437
1,8478
9,4376
10,2631
8,6114
5,8794
2,2791
10,3013
8,859
8,2611
2,7018
7,4675
9,6021
5,5471
4,6427
5,2722
7,1444
5,7416
7,8135
8,8404
5,3591
5,8242
9,1008
7,4336
10,4402
9,5731
5,563
10,1559
7,2694
8,6440
4,6956
9,782
6,3673
8,6400
1,5510
9,8079
10,3738
8,4069
10,2938
5,7828
8,8772
5,9492
6,7673
5,396
7,6535
8,8636
8,5637
9,206
9,9265
8,1520
8,9691
9,5872
7,5377
4,4052
11,3981
3,2496
9,9011
8,3510
8,3394
11,2653
10,6882
1,1315
5,2296
11,227
7,9683
5,5335
8,1218
5,8708
8,4386
8,9489
11,4163
3,2022
7,5742
10,967
2,930
3,7666
9,6376
6,2180
9,2564
5,8784
3,312
5,3655
6,2235
7,4715
1,9905
2,1033
11,7585
6,7957
10,5357
5,9508
10,7066
9,3320
4,6813
9,7459
8,9022
10,9364
9,8448
5,1233
5,9187
5,4409
9,1580
5,8966
7,6830
8,4421
8,9297
7,6361
7,5895
11,2950
8,6873
8,704
9,487
7,2315
7,6825
8,9690
8,7287
1,3814
11,3702
7,6595
1,5125
8,4098
4,1285
5,5294
9,2157
10,3891
5,6257
10,8607
11,6410
4,6233
4,2013
8,4942
4,5456
5,5131
5,2552
6,6614
5,8651
6,5977
1,9835
10,2757
8,4955
5,6697
4,3546
5,6855
8,4173
5,1239
5,5888
10,9708
5,1653
4,6113
11,326
8,6477
11,1195
3,3747
5,2832
10,7624
8,5817
1,9109
1,8813
9,2769
7,7045
8,6632
5,6835
3,7260
8,6158
8,9601
7,703
11,9730
5,5423
11,5260
10,6772
8,7581
6,3367
11,1688
5,5579
7,2417
8,2850
8,304
2,7030
10,4980
8,5821
8,2574
9,7168
11,1972
9,8397
2,3714
6,6537
8,5316
8,5354
8,7961
1,1354
5,4579
5,2055
5,8676
10,8663
9,2846
10,5256
5,4003
8,5289
8,8422
8,3923
3,1509
5,8188
4,3341
5,5528
10,8883
8,260
8,2292
5,1641
9,869
10,1710
5,8591
3,6722
4,6493
7,2468
8,4802
8,768
3,9163
8,5070
11,7649
10,3898
2,7783
10,8275
8,8456
8,8389
8,9343
5,2728
9,4273
8,5976
5,6290
8,6035
1,2502
8,9461
10,8993
10,7819
3,7342
3,9447
8,4603
4,9869
6,973
6,844
9,7387
7,4177
8,3219
1,6585
4,3922
8,5520
5,9599
6,4749
10,6609
1,5481
8,6222
8,2701
1,6911
8,5599
10,9767
11,3001
4,4424
5,2675
5,4883
11,9404
9,32
8,3712
11,7454
8,9537
8,1477
5,8070
11,8075
9,2700
8,6277
5,7703
2,3366
9,8435
1,773
1,8874
10,7538
8,6187
7,7173
11,8177
9,8971
5,655
5,9504
9,6478
8,4302
10,255
10,1900
9,7065
8,7991
10,7327
3,4249
7,2789
7,1979
8,9744
7,4274
4,1004
9,3959
10,8634
10,9444
7,7980
10,8990
8,9886
10,3329
11,6701
7,4764
2,5187
8,1906
6,672
5,4849
8,481
10,7641
1,4804
2,5081
8,1693
7,6328
5,2170
8,7296
9,2014
8,2792
5,5958
8,6843
5,9904
8,3996
4,4062
5,5257
8,5319
8,7551
1,5092
8,8139
7,8364
2,9086
8,550
11,6171
9,394
10,3676
8,1649
5,3688
5,6471
8,9609
7,4060
10,9749
8,1118
5,9020
7,8042
6,2587
10,1309
4,2378
10,751
10,6549
8,1147
1,8590
4,1969
8,6303
3,2366
8,1547
5,7354
8,5539
5,9854
2,3491
10,4242
10,8058
3,3444
8,9334
5,9942
5,686
4,5003
5,2414
10,3317
8,727
8,3498
7,5638
7,1948
1,4572
8,2049
5,7989
11,1389
8,3968
5,1019
4,8868
8,8960
4,4415
10,7052
8,4496
8,5587
4,5095
9,5123
4,8729
8,102
8,1186
7,1658
11,9603
8,9003
7,7586
4,3558
5,5173
8,3859
6,6832
5,373
7,4478
11,5093
10,4649
7,7279
8,9877
8,4086
6,8530
3,3847
5,6790
1,8459
5,4141
8,463
2,743
10,8787
9,1903
8,6806
9,7560
8,7094
8,8619
5,9612
10,3118
8,173
5,1474
1,423
9,3259
5,9201
5,932
7,6215
9,4318
1,1051
1,231
8,3799
7,7137
7,3036
8,2498
11,2401
10,1245
10,247
10,6949
8,8837
8,6350
10,5100
8,5072
8,51
7,8640
9,8821
10,8581
10,726
9,3664
11,5135
9,4391
10,8311
11,5056
9,234
10,5642
11,581
10,5486
8,5248
9,1221
11,9978
1,4875
5,2876
3,8516
2,1454
1,659
8,1879
5,8491
8,2733
8,4350
11,590
5,1904
7,4351
5,7959
8,5877
5,7555
10,9930
10,1447
7,5568
8,4332
7,1544
8,1159
8,3463
8,889
5,6886
5,3767
10,3221
11,1771
1,2812
8,9828
7,6445
11,2104
2,1073
5,532
8,9909
7,9875
10,4655
8,7288
8,1009
8,2795
10,3478
10,4618
8,3868
8,435
5,2033
8,5605
4,9965
10,5464
8,936
8,9666
8,8318
7,5020
9,7085
8,7251
10,5296
3,8732
6,4974
8,6880
9,2068
8,5957
5,4506
5,8542
8,3082
5,1809
7,6352
8,7347
9,6970
5,1001
1,397
3,9618
7,6226
5,6317
9,7413
5,7473
8,6090
4,7809
7,8609
1,2972
5,2573
8,1267
4,7022
4,7744
8,9614
4,4570
8,1077
8,4375
4,2705
7,9026
10,8973
8,9684
8,505
8,7845
8,8761
7,7072
10,4464
4,1858
5,3372
4,3684
1,3846
9,4941
9,2360
10,3328
2,2462
7,1518
9,1427
4,8817
1,9398
3,9093
8,2511
8,1437
11,9827
7,4471
8,7047
4,7938
8,3561
9,310
8,8249
7,3189
8,3937
4,7583
2,388
11,2372
5,7544
10,2004
8,4295
8,4550
6,4598
7,5469
5,1678
4,7626
5,3716
7,9346
10,5211
6,1551
10,7844
7,8481
10,7754
10,4895
10,2393
6,9912
4,1902
1,2384
8,6508
5,6219
11,1843
7,6432
1,56
6,9590
10,8751
5,3826
1,2927
7,6339
6,593
6,1054
8,2155
9,6849
2,8490
10,9018
2,7815
5,3302
5,2195
3,8661
10,1895
5,4355
8,5448
9,6418
9,640
8,8979
5,441
9,6323
5,9675
8,1746
9,9426
7,7116
10,1378
5,4977
8,2860
1,7911
8,8131
4,2407
8,7926
8,6800
8,7719
7,8801
3,8455
8,452
7,1419
11,5757
5,3330
5,5534
5,8051
7,1859
11,3514
7,3571
10,8240
9,9010
8,5703
7,4428
4,9450
8,2873
5,4107
9,163
5,7492
8,3440
8,2159
9,9341
11,8425
10,7069
11,3073
5,1210
5,5576
11,3871
7,4379
10,9624
5,6906
10,9880
4,500
10,3793
8,1038
9,1962
8,4925
7,9922
7,4544
3,3784
1,9963
8,7894
5,4893
5,7271
8,9559
8,4878
7,6687
10,7428
8,8048
8,3495
1,3037
4,6049
5,295
8,4148
5,4801
5,7273
8,984
7,1975
10,5053
9,2129
5,6559
7,8596
10,5997
10,8074
8,6417
10,368
8,8285
10,9964
8,4640
6,597
5,4704
8,4604
8,8015
9,7457
10,1991
6,6740
9,8726
8,6465
7,5246
5,8145
7,6774
2,8688
8,3910
8,3353
11,3278
7,2406
8,2247
10,646
8,4839
8,4548
11,8934
4,9039
2,7633
7,6548
7,8741
10,67
1,677
5,9915
7,129
3,8014
10,4541
10,3450
10,9631
8,1908
4,9046
9,2160
7,8968
8,2413
11,7964
7,9097
9,2101
9,5906
6,9976
9,8669
1,2482
8,7390
5,1988
5,6498
5,3214
9,7721
7,4706
8,2986
10,7841
3,1850
5,9555
3,9939
5,5077
9,9872
9,4479
1,1957
9,3691
11,2286
10,2776
8,5430
3,4696
7,5721
3,3018
10,7131
5,1605
3,7206
5,5970
7,6685
10,4627
8,3915
1,868
5,6032
