Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters,index_col
10.0,538.0457232000001,53514.30799,Education,179.3485744,No,298.38156319999996,Yes,Female,After_16:00,0.992707839,0.358774672,6.753400001,8.935193466,6.214901509,2.063433968,3716.0,18.07362074,388.2383823,3760.2923969999997,45596.41575,No,89031.55726,19.70376569,246.9213314,95.93418706,32355.25972,100.0,30-45,2.0,585.0104958,9.0,Public_or_other,Hightech,411.5155909,0.0,No,8575
6.0,236.1936266,31188.54618,Other,78.73120885,No,396.1395568,Yes,Male,By_16:00,0.617918733,0.668080379,2.644959872,7.845976667,4.386112858,3.330786077,5651.0,53.15346005,445.0965848,4851.588738,50435.07064,Maybe,156926.5484,21.09731227,189.0618176,27.18931092,6287.334457,50.0,30-45,2.0,616.1350427,7.0,Foot_or_bicycle,Services_or_Retail,351.8683213,4.0,No,226
6.0,112.7554919,19843.71409,Military,37.58516397,No,527.9666761,No,Female,By_16:00,0.963893902,0.378731747,2.598377923,5.053975207,0.6759177590000001,4.778831913,7789.0,61.11523916,440.59049630000004,6160.847753,53084.06042,Maybe,278748.8111,20.99024765,132.1848287,52.75078584,1460.229714,30.0,45_and_up,0.0,641.9669671,9.0,Public_or_other,Industry_or_other,385.27770560000005,2.0,Yes,1430
6.0,267.849856,41631.31679,Social,89.28328532,No,466.283433,Yes,Male,After_16:00,0.467273991,0.750362179,1.695321649,0.753338032,7.634269237000001,6.13034996,8416.0,79.46618902,447.5536642,5557.941658,54078.650010000005,No,217420.2399,21.15546417,79.98836535,10.55049771,8070.788323999999,70.0,30-45,2.0,674.3731305,7.0,Public_or_other,Hightech,449.8929789,0.0,Yes,257
8.0,296.6691372,49449.43152,Other,98.88971241,No,500.0462669,No,Male,By_16:00,0.482588046,0.23372467,1.200695597,8.773189347999999,8.229574426000001,4.888908616,6556.0,5.900233844,449.37157379999996,5899.205816,54966.61188,Maybe,250046.26899999997,21.19838611,66.28138016,79.00243152,9888.064933,50.0,45_and_up,3.0,683.0499006,10.0,Foot_or_bicycle,Hightech,457.2217149,1.0,Yes,9580
5.0,1257.378135,224637.0633,Financial,419.12604480000005,Yes,535.9654119,No,Male,After_16:00,0.8350527590000001,0.7420986390000001,6.745875073,5.379348188,6.969965252000001,0.564156778,9376.0,71.63205382,362.0240751,6083.702268999999,51738.91483,Yes,287258.9227,19.02693026,170.8687435,63.20879757,176095.7675,60.0,30-45,3.0,676.4959657,12.0,Motorcycle_or_truck,Hightech,594.1555139,3.0,Yes,2612
9.0,583.6446601,92883.55759,Financial,194.54822,No,477.43206069999997,Yes,Female,After_16:00,0.7057795920000001,0.7908393440000001,3.8590610610000002,4.33289886,4.776694491000001,1.6535720930000002,8797.0,54.20317214,459.2263864,5692.773379,55391.08339,No,227941.3725,21.42956804,62.65952923,54.22563886,38053.55814,60.0,45_and_up,1.0,690.1040723,5.0,Car,Industry_or_other,458.1142369,1.0,Yes,9044
8.0,533.2120321000001,88462.42797,Environment,177.737344,No,497.71435729999996,Yes,Male,After_16:00,0.322684539,0.7212933229999999,4.292506832,8.73098271,7.594250562,8.431467248999999,3805.0,4.454977158,420.6610005,5818.465575,52059.85389,No,247719.5815,20.51002195,104.2399145,71.57007242,31778.30081,90.0,45_and_up,1.0,644.5800268999999,8.0,Motorcycle_or_truck,Hightech,432.42738139999994,0.0,Yes,4197
4.0,451.2327832,62075.476010000006,Foreign_Affairs,150.41092769999997,No,412.7058914,Yes,Male,After_16:00,0.826836088,0.22202005,0.8132355379999999,1.7165398269999999,1.937864197,8.062452013,9842.0,54.36167354,447.4023756,5021.863665999999,53450.35673,Maybe,170326.1528,21.15188823,108.5257835,64.55393226,22783.85811,40.0,Below_30,2.0,675.2841735000001,6.0,Car,Public_Sector,462.7028927,0.0,Yes,6052
2.0,184.0222304,25720.33826,Healthcare,61.34074347,No,419.3026821,Yes,Male,After_16:00,0.24675589899999997,0.26443414600000004,2.247368153,7.814290551,1.4627360180000002,6.438251243,5200.0,51.11915629999999,444.20198789999995,5081.430797,54218.06899,No,175814.7392,21.07609992,98.13735047,41.69596236,3834.027553,80.0,45_and_up,2.0,692.8808478999999,11.0,Motorcycle_or_truck,,502.3375811000001,2.0,No,9744
3.0,367.018826,55121.00225,Social,122.3396087,No,450.5572876,Yes,Female,By_16:00,0.602066597,0.355655092,8.695843474,0.7645471770000001,9.437585319,0.9572792240000001,3922.0,95.33910095,463.89180880000004,5433.356494,55570.10942000001,No,203001.8694,21.53814776,68.38521072,97.83808561,15099.319459999999,70.0,Below_30,3.0,697.3255486,11.0,Public_or_other,Industry_or_other,469.53438389999997,0.0,Yes,5373
2.0,570.367625,67437.98052000001,Military,190.1225417,No,354.7079685,Yes,Female,After_16:00,0.133675335,0.134469896,8.725260226,3.1804135810000003,5.549952322999999,8.951629772999999,3032.0,27.92339176,425.5190467,4398.117778,51805.259710000006,Maybe,125817.7429,20.62811302,163.5861563,81.22601809,36346.703389999995,30.0,45_and_up,1.0,673.5183847999999,9.0,Car,Student_or_Unemployed,510.16089180000006,1.0,Yes,2653
7.0,235.71009669999998,32127.08895,Other,78.57003225,No,408.8974897,Yes,Female,After_16:00,0.284512957,0.427868409,4.739662001,7.114389882999999,2.73250811,5.915208384,8373.0,14.56093919,425.81721339999996,4940.609324,52306.739,Maybe,167197.1571,20.63533895,117.8390216,16.28313421,6261.82,50.0,30-45,2.0,669.5622976,8.0,Public_or_other,Industry_or_other,490.8741131,0.0,Yes,5287
6.0,221.0797141,34711.55765,Financial,73.69323803,No,471.0277166999999,Yes,Female,After_16:00,0.703733266,0.841986833,,6.156559357999999,8.443137796,1.4265113390000002,7624.0,32.88693309,485.29078200000004,5680.858731,57889.20228,No,221867.1099,22.02931642,37.73963258,,5514.386570000001,60.0,30-45,3.0,724.2659655,8.0,Public_or_other,Industry_or_other,480.8029801,1.0,No,1220
6.0,555.5922368,69690.84128,Military,185.19741230000002,No,376.30569689999993,Yes,Male,After_16:00,0.840405282,0.977199508,5.641993459,5.526518917000001,0.413167581,5.571106567999999,9110.0,47.401264399999995,394.7542014,4552.565372,46532.5432,Maybe,141605.9775,19.86842222,206.8138705,37.48034539,34493.27892,30.0,Below_30,1.0,578.8878344,9.0,Public_or_other,Student_or_Unemployed,371.956967,1.0,Yes,1403
5.0,479.78579060000004,35015.95852,Education,159.9285969,No,218.9474503,Yes,Male,After_16:00,0.9592854359999999,0.372690185,4.10355903,1.692158391,1.9347240430000001,3.708394906,9548.0,35.85000122,471.28766950000005,3132.0498420000004,55902.62417999999,No,47937.986,21.70916096,310.7635262,20.88923324,25747.0847,100.0,Below_30,3.0,760.7819946000001,13.0,Motorcycle_or_truck,Services_or_Retail,629.4566941,0.0,Yes,1357
4.0,454.5332923,51060.571939999994,Other,151.5110974,No,337.0087921,Yes,Male,After_16:00,0.73523577,0.41980183200000004,6.50239832,8.366834647000001,9.816457612999999,6.6907214889999995,8877.0,77.26546726,439.5441765,4249.176274,51227.11307,Maybe,113574.9259,20.96530888,181.0778746,55.86771162,23117.12375,50.0,45_and_up,3.0,653.9521485,9.0,Motorcycle_or_truck,Services_or_Retail,449.32302089999996,0.0,No,9827
1.0,1958.079313,35188.87272,Social,652.6931043999999,Yes,53.91335144,Yes,,By_16:00,0.141598159,0.117883962,3.30031164,8.585486517,9.720726353,1.245566092,,29.057798,,1496.3678009999999,40579.079789999996,Yes,2906.6494629999997,21.87732029,627.1455174,73.65017878,426670.9816,70.0,45_and_up,1.0,465.99853260000003,11.0,Motorcycle_or_truck,Student_or_Unemployed,59.70353691,2.0,No,838
